Date,Description,Amount,Vendor
2024-01-15,Office Supplies Purchase,-125.50,Staples
2024-01-16,Client Payment,2500.00,ABC Corp
2024-01-17,Gas Station,-45.75,Shell
2024-01-18,Restaurant Lunch,-32.80,Chipotle
2024-01-19,Software Subscription,-99.00,Adobe
2024-01-20,Consulting Fee,1800.00,XYZ Inc
2024-01-21,Grocery Shopping,-85.30,Whole Foods
2024-01-22,Internet Bill,-89.99,Comcast
2024-01-23,Client Payment,3200.00,DEF Company
2024-01-24,Office Rent,-1200.00,Property Management
2024-01-25,Coffee,-4.50,Starbucks
2024-01-26,Marketing Services,-450.00,Google Ads
2024-01-27,Client Payment,1500.00,GHI Solutions
2024-01-28,Restaurant Dinner,-65.40,Olive Garden
2024-01-29,Phone Bill,-75.00,Verizon
2024-01-30,Consulting Fee,2200.00,JKL Enterprises
